2013-05-27 04:17:43  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 04:17:43  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 04:18:27  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 04:18:27  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 04:18:29  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 04:18:29  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 04:18:29  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 04:18:29  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 05:35:28  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 05:35:28  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 05:35:44  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 05:35:44  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 05:35:50  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 05:35:50  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 05:35:59  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 05:35:59  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 05:36:39  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 05:36:39  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:18:32  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:18:32  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:19:44  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:19:44  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:19:56  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
